model,fold,n_cys_test,mae,rmse,r2,pearson,spearman
dummy_mean,1,5336,0.7295306939326075,0.8877331922165126,-0.29671310366119985,,
dummy_mean,2,5425,0.7353598775726059,0.9286489488791954,-0.1893603322612396,,
dummy_mean,3,5447,0.727498758760427,0.9213288122395794,-0.0820367425395978,,
hist_gradient_boosting,1,5336,0.5456719487595947,0.7297877276223583,0.12366109130279634,0.3614740178919172,0.3425204541722376
hist_gradient_boosting,2,5425,0.5775660552307597,0.7945307139779565,0.12937389031563473,0.3626645255049699,0.37006088699987116
hist_gradient_boosting,3,5447,0.5890625316266971,0.8251960416633961,0.13198551060672448,0.3756483012817494,0.3758095907781862
ridge,1,5336,0.5505900849069941,0.7377746734072523,0.10437446366180514,0.3310646989942931,0.28963856033196295
ridge,2,5425,0.5837829948020595,0.8010108793541012,0.11511438280824571,0.3423184616845431,0.3221279467890667
ridge,3,5447,0.5939900956650102,0.8321958574211797,0.11719699706030062,0.35712933912220357,0.3285335932193742
