model,fold,group_column,n_train_groups,n_test_groups,fit_seconds,predict_seconds,mae,rmse,r2,pearson,spearman
dummy_mean,1,protein_id,362,181,0.4398383960000274,0.0815837319998991,0.7791965236829024,1.0039000207362272,-0.015119775510026523,,
dummy_mean,2,protein_id,362,181,0.4188067160000628,0.07107069099993168,0.781912521652854,1.0215977005286718,-5.7210317467193406e-05,,
dummy_mean,3,protein_id,362,181,0.4335164750000331,0.07552790299996559,0.8145966262160474,1.094065415634375,-0.01113143904341185,,
ridge,1,protein_id,362,181,0.5301239039999928,0.10981097299998055,0.6518682354595039,0.8851424754565331,0.2108442495020897,0.47372462373699714,0.4591081218541549
ridge,2,protein_id,362,181,0.5635048230000166,0.10972950799998671,0.6493415551027992,0.8867075119285311,0.24659966779399478,0.4967153443705901,0.4889780651959867
ridge,3,protein_id,362,181,0.5332302939999636,0.1114357269999573,0.6996333990161371,0.9656167814741999,0.21235477593299434,0.4720771286657427,0.4541640365670762
hist_gradient_boosting,1,protein_id,362,181,4.775877553999976,0.2624061830000528,0.6473761955236507,0.8812977697747997,0.2176849159112797,0.48114176327846225,0.46890963402210817
hist_gradient_boosting,2,protein_id,362,181,5.031132706999983,0.2685737259999996,0.6435835159432608,0.881576502152248,0.25529367297918604,0.5054073857650105,0.5011685892759395
hist_gradient_boosting,3,protein_id,362,181,4.777197838999996,0.25958385499995984,0.6947533254790644,0.9606128153122697,0.22049700751090884,0.48042433385426636,0.46663568775139436
